class,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,matthews,roc_auc
428,0.708385429690756,0.7012012012012012,0.7093167185690316,0.7029953085528691,0.7012012012012012,0.7012012012012012,0.6997056737669,0.7012012012012012,0.6992601975098741,0.4113454246639785,0.7029953085528691
514,0.7875409379137343,0.7774030354131535,0.7917153683551499,0.7826176289295254,0.7774030354131535,0.7774030354131535,0.7770067003965541,0.7774030354131535,0.776451831373315,0.5701373101046849,0.7826176289295254
73,0.7329799416349598,0.7301927194860813,0.7339090156845861,0.7315345080763582,0.7301927194860813,0.7301927194860813,0.7299834801762114,0.7301927194860813,0.7297742408663416,0.4645122008219337,0.7315345080763583
524,0.7354838709677419,0.7032258064516129,0.7390218522372528,0.70959914048607,0.7032258064516129,0.7032258064516129,0.6965440926115083,0.7032258064516129,0.6948978732595985,0.4443296836952098,0.7095991404860699
427,0.7435365022574325,0.7235955056179775,0.7492621349558899,0.7319762252515417,0.7235955056179775,0.7235955056179775,0.7217746239751128,0.7235955056179774,0.7203078026516943,0.4753721847337842,0.7319762252515417
264,0.7749519552139037,0.7607223476297968,0.7838196816793617,0.7708333333333333,0.7607223476297968,0.7607223476297968,0.760516115871073,0.7607223476297968,0.7598339646691405,0.545769748289877,0.7708333333333333
525,0.7462045656028369,0.7178841309823678,0.7513761232291835,0.7261783569174387,0.7178841309823678,0.7178841309823678,0.7138738738738739,0.7178841309823677,0.7120820568679511,0.4719582359218722,0.7261783569174387
423,0.8095902166916971,0.7969543147208121,0.80991421417813,0.7974644403215831,0.7969543147208121,0.7969543147208121,0.7950478568456096,0.796954314720812,0.7949475169574411,0.6069335401416973,0.7974644403215833
252,0.6238721429994591,0.6088082901554405,0.6281293188032037,0.6173678532901834,0.6088082901554405,0.6088082901554405,0.6059280493823822,0.6088082901554405,0.6036587687733059,0.24115229632994287,0.6173678532901834
29,0.7247205284552846,0.6871657754010695,0.7361779107430112,0.7042430365132053,0.6871657754010695,0.6871657754010695,0.6833604689026376,0.6871657754010695,0.680019224172307,0.42847451778867546,0.7042430365132054
137,0.7971130713712911,0.7777777777777778,0.8053996257685111,0.7878787878787878,0.7777777777777778,0.7777777777777778,0.7770897832817337,0.7777777777777778,0.7760577915376676,0.5849189716509837,0.7878787878787877
156,0.7188337678551757,0.6779661016949152,0.7264964552602245,0.6911014911014911,0.6779661016949152,0.6779661016949152,0.6708641894757446,0.6779661016949152,0.6675863838361275,0.4089961336760123,0.691101491101491
250,0.7274475007394262,0.7146892655367232,0.7329760693272642,0.7221116816431322,0.7146892655367232,0.7146892655367232,0.7140297695697729,0.7146892655367232,0.7130211286791431,0.4495275158419627,0.7221116816431323
546,0.7419069390162967,0.7267267267267268,0.7558479503026365,0.7410714285714286,0.7267267267267268,0.7267267267267268,0.7267168688280651,0.7267267267267268,0.7264950661081787,0.48297764490709133,0.7410714285714286
548,0.7527640818765875,0.7379518072289156,0.7606992290092688,0.747594306831071,0.7379518072289156,0.7379518072289156,0.7375494071146245,0.7379518072289157,0.7366207914662602,0.5003316805641064,0.747594306831071
210,0.7445694265166882,0.7349397590361446,0.7514477604313621,0.7426365665361677,0.7349397590361446,0.7349397590361446,0.7348531600537265,0.7349397590361445,0.7344201651416353,0.4872021589842508,0.7426365665361677
257,0.7289516129032259,0.6975308641975309,0.7504500199123855,0.7220744680851063,0.6975308641975309,0.6975308641975309,0.6971153846153846,0.6975308641975309,0.6953149730927509,0.4509736473574084,0.7220744680851064
