precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,matthews,roc_auc
0.7024478081492418,0.6261261261261262,0.7051735825072102,0.6323709852038975,0.6261261261261262,0.6261261261261262,0.5933796756041045,0.6261261261261262,0.5909540126024733,0.3274032120617314,0.6323709852038975
0.7230642256902762,0.5430016863406408,0.7357959203917654,0.5678720635572906,0.5430016863406408,0.5430016863406408,0.4620802077998587,0.5430016863406408,0.449766069761044,0.2460880273675112,0.5678720635572906
0.7582009831726224,0.6937901498929336,0.7619898557184864,0.7005323054331865,0.6937901498929336,0.6937901498929336,0.6778113888446637,0.6937901498929336,0.6758140437136301,0.4550940053251476,0.7005323054331865
0.7277877161598092,0.6150537634408603,0.7339899077333436,0.627371072910492,0.6150537634408603,0.6150537634408603,0.5729545582810439,0.6150537634408603,0.5680525960364079,0.34066737914338385,0.627371072910492
0.6923529411764706,0.503370786516854,0.7058849966953074,0.5331669912366115,0.503370786516854,0.503370786516854,0.39547334968435155,0.503370786516854,0.37882959613040174,0.15974690374885447,0.5331669912366115
0.710224586288416,0.49209932279909707,0.7334984977773509,0.5365946502057614,0.49209932279909707,0.49209932279909707,0.3916654968904296,0.49209932279909707,0.36767297181224795,0.17542058259936857,0.5365946502057612
0.716919191919192,0.5667506297229219,0.72719130855151,0.5874478265295734,0.5667506297229219,0.5667506297229219,0.5021580635753864,0.5667506297229219,0.49267244197330073,0.2754567978168972,0.5874478265295735
0.8035973460501762,0.8020304568527918,0.8034928867703507,0.801844980416409,0.8020304568527918,0.8020304568527918,0.8017034456058847,0.8020304568527918,0.8017443220117481,0.6054397904762758,0.8018449804164088
0.7337662337662337,0.4689119170984456,0.7516990781239485,0.5024271844660194,0.4689119170984456,0.4689119170984456,0.32341498867085633,0.4689119170984456,0.3022813566087484,0.047640057568280346,0.5024271844660194
0.6543788621350948,0.47593582887700536,0.672838486265242,0.5209121085293693,0.47593582887700536,0.47593582887700536,0.36555305521897175,0.47593582887700536,0.3400801074517333,0.11363780215420652,0.5209121085293694
0.769214527027027,0.6305555555555555,0.7871445664414414,0.6585081585081585,0.6305555555555555,0.6305555555555555,0.5989916163451955,0.6305555555555555,0.5896161888569699,0.41314742609726574,0.6585081585081585
0.6411671087533157,0.5141242937853108,0.6514678775345053,0.5426647426647426,0.5141242937853108,0.5141242937853108,0.4299943830743307,0.5141242937853108,0.41514792824298125,0.15521415357738422,0.5426647426647426
0.6335243553008596,0.4717514124293785,0.6457513800527739,0.5074775353016688,0.4717514124293785,0.4717514124293785,0.3382516119358224,0.4717514124293785,0.3164214558802724,0.06319598342916252,0.5074775353016688
0.7181818181818181,0.44144144144144143,0.7562653562653563,0.5079365079365079,0.44144144144144143,0.44144144144144143,0.3194224683544304,0.44144144144144143,0.280480242901129,0.0832250378576479,0.5079365079365079
0.7315950920245399,0.47289156626506024,0.755848547564491,0.5165745856353591,0.47289156626506024,0.47289156626506024,0.3486474063610579,0.47289156626506024,0.3229417181050574,0.12391275455722242,0.5165745856353591
0.735202492211838,0.4879518072289157,0.7591299778553466,0.5303867403314917,0.4879518072289157,0.4879518072289157,0.37720692090395486,0.4879518072289157,0.35347587383432033,0.1690803011135339,0.5303867403314917
0.7118380062305296,0.42901234567901236,0.7580862274527903,0.5079787234042553,0.42901234567901236,0.42901234567901236,0.3132998040945387,0.42901234567901236,0.2680588103923385,0.08222400764307979,0.5079787234042553
0.7125,0.42857142857142855,0.7571428571428572,0.5053763440860215,0.42857142857142855,0.42857142857142855,0.30888391190742814,0.42857142857142855,0.2642243907641444,0.06760097982365551,0.5053763440860215
0.722397476340694,0.4482758620689655,0.7545958881757859,0.5056179775280899,0.4482758620689655,0.4482758620689655,0.3189713731198448,0.4482758620689655,0.2845521926082083,0.07069438519107217,0.5056179775280899
0.7238095238095238,0.44936708860759494,0.7535262206148282,0.5028571428571429,0.44936708860759494,0.44936708860759494,0.31489234449760767,0.44936708860759494,0.28223419235661074,0.05057492589467335,0.5028571428571429
0.7297734627831716,0.4681528662420382,0.7555912848102571,0.5145348837209303,0.4681528662420382,0.4681528662420382,0.34310446340210704,0.4681528662420382,0.3157216014663557,0.11558080400670154,0.5145348837209303
0.7013888888888888,0.4901315789473684,0.727796052631579,0.5406749945211483,0.4901315789473684,0.4901315789473684,0.39786595105744044,0.4901315789473684,0.3715043430888896,0.18101372270826002,0.5406749945211483
0.8114162217137046,0.7649006622516556,0.8139081266848857,0.7686907686907687,0.7649006622516556,0.7649006622516556,0.7574297188755019,0.7649006622516555,0.756583951700843,0.5785314649871003,0.7686907686907687
0.7735520221553741,0.7601351351351351,0.7744176277695831,0.7615981735159818,0.7601351351351351,0.7601351351351351,0.7578104292711034,0.7601351351351352,0.7574897801864093,0.5350166702354208,0.7615981735159818
0.8084507042253521,0.8082191780821918,0.8084507042253521,0.8082191780821917,0.8082191780821918,0.8082191780821918,0.8081831831831832,0.8082191780821918,0.8081831831831833,0.6166698388447784,0.8082191780821918
0.7632575757575757,0.6515679442508711,0.7715545198123596,0.6657177615571777,0.6515679442508711,0.6515679442508711,0.621411988180667,0.6515679442508711,0.6165721433792761,0.4177389432050335,0.6657177615571777
0.7481481481481481,0.5177304964539007,0.7606514315734174,0.5405405405405406,0.5177304964539007,0.5177304964539007,0.4066831683168317,0.5177304964539007,0.39394003230110247,0.20059970149589018,0.5405405405405406
