class,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,matthews,roc_auc
428,0.7336293007769146,0.6456456456456456,0.7367556235480763,0.6519307109346806,0.6456456456456456,0.6456456456456456,0.6142503730464148,0.6456456456456456,0.611937037170682,0.3768048076243665,0.6519307109346807
514,0.7332951070336391,0.5446880269814502,0.7465772957697088,0.5696641782526312,0.5446880269814502,0.5446880269814502,0.46323687174810924,0.5446880269814502,0.45089578762184546,0.254969111241798,0.569664178252631
73,0.737947087020649,0.683083511777302,0.7413273072963055,0.6895190895741556,0.683083511777302,0.683083511777302,0.6681709940082963,0.683083511777302,0.6662127846042853,0.42471409347454336,0.6895190895741556
524,0.7468171296296297,0.6301075268817204,0.7533651931501394,0.6422088026081803,0.6301075268817204,0.6301075268817204,0.5914718862373325,0.6301075268817204,0.586878838048839,0.3746975765484353,0.6422088026081801
427,0.6776736039563157,0.5056179775280899,0.6901789001127531,0.5349825543654658,0.5056179775280899,0.5056179775280899,0.4023199023199024,0.5056179775280899,0.38612723107105135,0.15767658684421154,0.5349825543654658
264,0.611995034980817,0.4762979683972912,0.626546091996008,0.5204218106995885,0.4762979683972912,0.4762979683972912,0.37411088375718604,0.4762979683972912,0.34956314834084795,0.0956481344025493,0.5204218106995884
525,0.716919191919192,0.5667506297229219,0.72719130855151,0.5874478265295734,0.5667506297229219,0.5667506297229219,0.5021580635753864,0.5667506297229219,0.49267244197330073,0.2754567978168972,0.5874478265295735
423,0.8324829931972789,0.8324873096446701,0.8324873096446701,0.8324829931972789,0.8324873096446701,0.8324873096446701,0.8324829931972788,0.8324873096446701,0.8324873096446701,0.6649659863945578,0.832482993197279
252,0.48307291666666663,0.46632124352331605,0.4842130829015544,0.49964940668824165,0.46632124352331605,0.46632124352331605,0.32218357883251497,0.46632124352331605,0.3011297626417238,-0.004872174957549483,0.49964940668824165
29,0.7321428571428572,0.4786096256684492,0.75792589763178,0.524390243902439,0.4786096256684492,0.4786096256684492,0.3635847986386841,0.4786096256684492,0.337541441575341,0.1504928025644196,0.524390243902439
137,0.7777777777777778,0.6333333333333333,0.7962962962962964,0.6615384615384615,0.6333333333333333,0.6333333333333333,0.6013289036544851,0.6333333333333333,0.5919158361018826,0.4236592728681617,0.6615384615384615
