class,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,matthews,roc_auc
428,0.8142810050545748,0.8108108108108109,0.8136885328666151,0.8096535546734032,0.8108108108108109,0.8108108108108109,0.8098229583095373,0.8108108108108109,0.8101110819557421,0.6239173996018346,0.809653554673403
514,0.8865700593336376,0.8870151770657673,0.8870421538980175,0.8867200876652284,0.8870151770657673,0.8870151770657673,0.8866425292373885,0.8870151770657673,0.8870261372960138,0.7732901324451434,0.8867200876652285
73,0.8349216959511077,0.8244111349036403,0.8334524777401714,0.8218887665198238,0.8244111349036403,0.8244111349036403,0.8221200297287254,0.8244111349036403,0.8226819989225724,0.6566811451242666,0.8218887665198238
524,0.8729895303846446,0.8666666666666667,0.871517082669499,0.8642838618850031,0.8666666666666667,0.8666666666666667,0.865406162464986,0.8666666666666667,0.8658823529411764,0.7372219925400815,0.864283861885003
427,0.7965242658149232,0.7797752808988764,0.7928722315099205,0.7711883317104835,0.7797752808988764,0.7797752808988764,0.7722287218484938,0.7797752808988764,0.7749305763233221,0.567146968458882,0.7711883317104836
264,0.82715819456617,0.8171557562076749,0.8234820847421077,0.8072325102880658,0.8171557562076749,0.8171557562076749,0.8109918935575114,0.8171557562076749,0.8143049697319743,0.634077703054999,0.8072325102880659
525,0.868315115969075,0.8564231738035264,0.8654446471704942,0.8516110149648783,0.8564231738035264,0.8564231738035264,0.8537167163349344,0.8564231738035264,0.8547692275727202,0.7197323162198382,0.8516110149648783
423,0.8643644957983193,0.8578680203045685,0.864123885594847,0.8575293753865183,0.8578680203045685,0.8578680203045685,0.8571465568590889,0.8578680203045685,0.8571980899623374,0.7218615119142917,0.8575293753865183
252,0.7841781874039938,0.7797927461139896,0.7826779048574134,0.7744066882416396,0.7797927461139896,0.7797927461139896,0.7758803237815499,0.7797927461139896,0.7778748920294604,0.5584994011672421,0.7744066882416397
29,0.8035714285714286,0.7941176470588235,0.8002347998022739,0.7836195699235099,0.7941176470588235,0.7941176470588235,0.7868630425933465,0.7941176470588235,0.7906480536188127,0.58685193366809,0.7836195699235098
137,0.8076004058786946,0.8,0.8049491015024058,0.7920745920745921,0.8,0.8,0.7946703000728794,0.8000000000000002,0.7974270414144936,0.5994739796488208,0.7920745920745922
156,0.7746723996723996,0.7655367231638418,0.7722362192701175,0.7581048581048581,0.7655367231638418,0.7655367231638418,0.7592961242596279,0.7655367231638418,0.7619237448508758,0.5325195986731966,0.758104858104858
250,0.7658450704225352,0.7627118644067796,0.7646813081881118,0.7568356867779205,0.7627118644067796,0.7627118644067796,0.7582674860989171,0.7627118644067796,0.7606748576823427,0.5226031046157168,0.7568356867779203
