precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,matthews,roc_auc
0.6801914196335468,0.6726726726726727,0.6810834743577184,0.6746120534103213,0.6726726726726727,0.6726726726726727,0.670664985074356,0.6726726726726727,0.6701244537978861,0.35475960192296124,0.6746120534103213
0.7741702288156902,0.7571669477234402,0.770918235164167,0.7489270141314521,0.7571669477234402,0.7571669477234402,0.748675566857385,0.7571669477234402,0.7514021570437328,0.5224878043469601,0.7489270141314522
0.7491003787878787,0.7387580299785867,0.7507202647459608,0.7414188693098385,0.7387580299785867,0.7387580299785867,0.7372823520731888,0.7387580299785867,0.736734243136898,0.4904590983624309,0.7414188693098386
0.7332944321048074,0.7268817204301076,0.7350815812600516,0.729586544161233,0.7268817204301076,0.7268817204301076,0.7262689984750232,0.7268817204301077,0.7257955315097309,0.46286612509018255,0.7295865441612329
0.7642349931636748,0.7325842696629213,0.7713502720902008,0.743062317429406,0.7325842696629213,0.7325842696629213,0.7291650684055748,0.7325842696629213,0.7271819316763138,0.5068552842155483,0.7430623174294061
0.767640608875129,0.7426636568848759,0.7782743607125635,0.756141975308642,0.7426636568848759,0.7426636568848759,0.7415561287153033,0.7426636568848759,0.7399139317742129,0.5236563538431791,0.756141975308642
0.7629513554055503,0.743073047858942,0.7675386571470753,0.7498345719230377,0.743073047858942,0.743073047858942,0.741060466543892,0.743073047858942,0.7398529177548618,0.51261813980517,0.7498345719230377
0.7620414074232997,0.751269035532995,0.7623176220871537,0.751777983920841,0.751269035532995,0.751269035532995,0.7489336246358718,0.751269035532995,0.7488107082728653,0.5137168763621383,0.751777983920841
0.6796327683615819,0.6632124352331606,0.6845970551213373,0.6714940668824163,0.6632124352331606,0.6632124352331606,0.6611657303370786,0.6632124352331606,0.6593919194271409,0.3510324998724462,0.6714940668824164
0.7262396694214877,0.6925133689839572,0.7372773677464975,0.7086015298022803,0.6925133689839572,0.6925133689839572,0.6894741782003798,0.6925133689839572,0.6865171277082504,0.43448333060445243,0.7086015298022803
0.8020334928229664,0.7694444444444445,0.8122175704412545,0.7825174825174825,0.7694444444444445,0.7694444444444445,0.7674907206387002,0.7694444444444445,0.7657146080880235,0.5842251005504868,0.7825174825174827
0.7085380835380835,0.6864406779661016,0.7144307250239454,0.6959595959595959,0.6864406779661016,0.6864406779661016,0.6836919510251395,0.6864406779661016,0.6816928768862579,0.4043020583292216,0.695959595959596
0.6743831168831169,0.6666666666666666,0.6787445887445888,0.6723684210526315,0.6666666666666666,0.6666666666666666,0.6664004600051112,0.6666666666666666,0.6657083226850669,0.3467456849933643,0.6723684210526315
0.7244431110777769,0.7027027027027027,0.7394941630297514,0.7199074074074074,0.7027027027027027,0.7027027027027027,0.7024343572015272,0.7027027027027027,0.7012268024462376,0.44432736880622914,0.7199074074074074
0.6975101069256054,0.6807228915662651,0.7051406593616693,0.6912663276133328,0.6807228915662651,0.6807228915662651,0.6797816196542312,0.6807228915662651,0.6782128331341747,0.38872629351860033,0.6912663276133328
0.7651650978634394,0.75,0.7732892574331391,0.7597416852658154,0.75,0.75,0.7496161010403889,0.75,0.7487301803643633,0.5248787646408439,0.7597416852658153
